nombre,latitud,longitud,tipo
La Cartería,43.3264173,-4.0687364,rest
Vinoteca Moratín,40.4125625,-3.695362,rest
Saddle,40.4274475,-3.6911998,rest
DiverXO,40.4582913,-3.6856715,rest
José Carlos García,36.71685,-4.4130483,rest
A'Barra,40.438683,-3.687633,rest
El Invernadero,40.4446541,-3.6989277,rest
Casas Colgadas Restaurante,40.077857,-2.1283593,rest
Casa Marco,42.2382396,-8.7104886,rest
Nublo,42.5777859,-2.8465048,rest
Carmen,41.8515864,0.2928459,rest
Poemas by Hermanos Padrón,28.1211968,-15.4272769,rest
La Era de los Nogales,42.5067596,-0.3377657,rest
La MaMá,40.45395,-3.69348,rest
Kokotxa,43.3236003,-1.9870824,rest
Noor,37.8899393,-4.7585272,rest
Bo.TiC,41.9878311,3.0160317,rest
Coque,40.430643,-3.690676,rest
Terra Palencia,42.007787,-4.5333929,rest
COME by Paco Méndez,41.376166,2.1540955,rest
Farragua,43.5443359,-5.6630782,rest
Els Tinars,41.8274496,2.9533814,rest
es.TABLE,41.64984,-0.8821181,rest
Ricardo Temiño,42.3432013,-3.7002022,rest
La Oveja Negra,42.0359715,0.1264731,rest
El Recetario,43.5446984,-5.6629946,rest
El Racó de Pere i Pepa,38.4022338,-1.0444077,rest
Lalola de Javi Abascal,37.3971909,-5.9919358,rest
Muxgo,28.1219882,-15.4279542,rest
Código de Barra,36.5338733,-6.2954065,rest
Alquimia - Laboratorio,41.6538741,-4.7224762,rest
Mesón Nelia,40.231415,-2.0884093,rest
Terra Olea,37.8963188,-4.7973683,rest
12 Tapas,37.3877013,-6.0481407,rest
Kaido Sushi Bar,39.470454,-0.3575637,rest
Gaytán,40.4493113,-3.6783632,rest
Fogony,42.4159399,1.1320159,rest
Nintai,36.5097674,-4.8997997,rest
Tábula Rasa,38.3398097,-0.4990203,rest
El Merca'o,42.81307,-1.63579,rest
Villa de Oro,43.13108,-9.18279,rest
Pan de Cuco,43.4408833,-3.7156073,rest
Alejandro Serrano,42.6863866,-2.9422715,rest
Ca'n Boqueta,39.7679667,2.7115715,rest
Las Tortillas de Gabino,40.4339367,-3.6940302,rest
La Finca,38.2558416,-0.6492128,rest
El Envero,37.8985515,-4.7886147,rest
La Bicicleta,43.390118,-3.701983,rest
Chispa Bistró,40.4202857,-3.6956288,rest
Árbore da Veira,43.377457,-8.433224,rest
Arrieros,37.8793,-6.62185,rest
Aureum by Picualia,38.09227,-3.79239,rest
Kàran Bistró,38.3774164,-4.8487398,rest
Ricardo Sanz Wellington,40.4219171,-3.6843864,rest
Choco,37.8850096,-4.7623009,rest
Can Xapes,42.0891594,2.8159681,rest
Mas Concas,42.1373158,3.1006407,rest
Ikaro,42.4643127,-2.4482165,rest
Paco Roncero,40.4176733,-3.7002477,rest
Miramar,42.3710822,3.1601265,rest
Natxo Sellés,38.7367312,-0.4407907,rest
San-Hô,28.1017164,-16.7536227,rest
Arotxa,43.1301538,-1.6438512,rest
Canfranc Express,42.753857,-0.5147982,rest
Omakase by Walt,38.9077399,1.430802,rest
Corral de la Morería Gastronómico,40.4128471,-3.7140918,rest
Smoked Room,40.4385556,-3.691358,rest
Cenador de Amós,43.4124884,-3.6988243,rest
La Tasquería,40.4454892,-3.6956819,rest
Mesón Octavio,38.997234,-3.926333,rest
La Prensa,41.633181,-0.8746479,rest
Azafrán,39.2705907,-2.5952528,rest
