nombre,latitud,longitud,estrella
Donaire,-16.7387881,28.0916898,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Terreo Cocina Casual,-8.4039449,43.3692094,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Alquimia - Laboratorio,-4.7224762,41.6538741,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Morrofino,-8.7127237,42.2383452,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Maruja Limón,-8.7238018,42.2403767,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Cenador de Amós,-3.6988243,43.4124884,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/TresEstrellas.svg
Mesón Nelia,-2.0884093,40.231415,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Nintai,-4.8997997,36.5097674,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Tábula Rasa,-0.4990203,38.3398097,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Fraula,-0.366224,39.4694922,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
El Merca'o,-1.63579,42.81307,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Alejandro Serrano,-2.9422715,42.6863866,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Vasca,-2.9492449,42.684257,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Ayalga,-5.067508,43.4651241,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Pan de Cuco,-3.7156073,43.4408833,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
A Viaxe,-8.5399848,42.881473,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Ajonegro,-2.4461804,42.4658541,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Iván Cerdeño,-4.0462052,39.8619154,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Pacífico,-7.8611341,42.3334068,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Ca'n Boqueta,2.7115715,39.7679667,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Saó,2.1397846,41.4169245,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
La Prensa,-0.8746479,41.633181,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Versátil,-6.0476206,40.2372182,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Azafrán,-2.5952528,39.2705907,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Les Moles,0.427955,40.602104,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Fogony,1.1320159,42.4159399,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Refectorio,-4.4106521,41.6156187,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
L'Ó,1.9003874,41.7448966,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Casona del Judío,-3.8292585,43.4686232,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Deliranto,1.1326351,41.0767475,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Kàran Bistró,-4.8487398,38.3774164,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Epílogo,-3.0270091,39.1491269,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Terra Palencia,-4.5333929,42.007787,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Dos Cuiners,2.4436912,41.5388303,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Almo de Juan Guillamón,-1.132081,37.9842525,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Sartén,-3.7136409,40.6109118,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Coto de Quevedo Evolución,-3.0492196,38.5798152,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Cocina de Manuel,-4.7377547,41.6379148,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Ola Martín Berasategui,-2.9264328,43.2579308,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Trigo,-4.730628,41.654679,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Cañabota,-5.9936533,37.3935972,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Mar de Esteiro,-8.4825408,42.9269753,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
A Tafona,-8.5402512,42.880744,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Riff,-0.3684603,39.4657836,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Els Casals,1.9605884,42.0325482,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Daluan,-0.0993829,40.6188759,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
El Xato,-0.123197,38.6172486,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Nova,-7.8623301,42.33977,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Nardi,-5.8598402,40.2730083,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
El Bohío,-3.8462246,40.1267656,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Bicicleta,-3.701983,43.390118,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Cocinandos,-5.5810161,42.6019852,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Tasquería,-3.6956819,40.4454892,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Las Tortillas de Gabino,-3.6940302,40.4339367,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Cabaña Buenavista,-1.163767,37.92464,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Mesón del Pastor,-0.1007192,40.61797,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
BACK,-4.894597,36.509052,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Solla,-8.6686035,42.4334655,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Les Cols,2.5009,42.1946503,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Taller Arzuaga,-4.3237821,41.6280676,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Culler de Pau,-8.8957637,42.4752854,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Lo Ponts,1.1888272,41.9124164,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Miramar,3.1601265,42.3710822,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Arrieros,-6.62185,37.8793,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
La Taberna de Cuatro Caminos,-5.017674,37.8103332,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Zaranda,2.655429,39.5655872,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Regadera,-4.7773775,37.8786183,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Tándem,-1.1248484,37.9848155,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Moral,-16.25398,28.4682876,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Mare,-6.2955994,36.5311693,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Llavor,0.1078286,40.0647805,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Alma Ezequiel Montilla,-4.7783671,37.387969,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Vinoteca Moratín,-3.695362,40.4125625,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Casa Arcas,0.4648088,42.5517197,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Berbena,2.1565422,41.3965158,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
La Cartería,-4.0687364,43.3264173,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Saddle,-3.6911998,40.4274475,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Arrels,-0.2781263,39.6786129,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Quatre Molins,0.904766,41.2645582,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
BonAmb,0.148496,38.7701412,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Can Boix,2.851352,42.111946,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Elías,-0.9605619,38.415276,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Gente Rara,-0.8705451,41.6587729,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Ceibe,-7.8637958,42.3377294,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Martina,-3.0144824,40.0169953,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
La Salita,-0.3696366,39.4623668,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Poemas by Hermanos Padrón,-15.4272769,28.1211968,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Carmen,0.2928459,41.8515864,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Slow & Low,2.1584002,41.3805322,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Casa Marco,-8.7104886,42.2382396,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Silabario,-8.7220499,42.2363322,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
2 Estaciones,-0.3702585,39.4626106,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
La Cava d'en Sergi,1.7811167,41.427102,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Casa Toni,-2.7582599,42.5615699,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Agua Salada,-3.8025956,43.464222,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Café de Altamira,-8.5414465,42.8804902,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Palodú,-4.4241615,36.719137,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Casa de Manolo Franco,-4.0679548,40.5009997,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Cruix,2.1524746,41.3781724,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Ca l'Enric,2.4401289,42.2217505,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Cal Paradís,-0.0339761,40.1767144,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Villa Retiro,0.490196,40.9123194,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Ricard Camarena,-0.3852003,39.48512,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
L'Antic Molí,0.3370827,40.6090476,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Az-Zait,-5.9964807,37.3968514,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Juan Mari,-0.7868152,37.8276439,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Hospedería El Batán,-1.5602059,40.42797,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Casa Marcelo,-8.5466466,42.880834,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Real Balneario,-5.966378,43.5776638,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Abantal,-5.9836581,37.3878998,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Chirón,-3.6764858,40.191578,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
El Doncel,-2.643727,41.0692522,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
El Cel de les Oques,2.0115738,41.5631112,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Retiro da Costiña,-8.8038837,43.0334653,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Casa Bigote,-6.3514916,36.7893085,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
A Horta d'Obradoiro,-8.5469959,42.8808002,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Skina,-4.9012506,36.5116735,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
La MaMá,-3.69348,40.45395,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Casa Mané,-5.4271564,36.176258,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Eirado,-8.6434132,42.4326366,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Alameda,-1.7925817,43.3612194,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Casa Gerardo,-5.7872,43.53658,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Rodero,-1.6367286,42.8160025,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Kiro Sushi,-2.4505514,42.4747461,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
Coque,-3.690676,40.430643,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
DSTAgE,-3.6962925,40.4246847,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/DosEstrellas.svg
Gofio,-3.7001594,40.4193176,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
El Rinconcico,-0.7544101,40.2504545,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
As Garzas,-8.8719851,43.3213756,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/UnaEstrella.svg
La Alquería,0.0203601,40.8375465,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/BibGourmand.svg
Martín Berasategui,-2.0157211,43.2669352,https://s3.ppllstatics.com/rc/www/multimedia/2025/11/24/TresEstrellas.svg
